@RELATION campuslens_complaints

@ATTRIBUTE complaint STRING
@ATTRIBUTE zone STRING
@ATTRIBUTE facility STRING
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'very weak wifi signal on floor 2 of cl15 students cannot continue class after a power interruption','Library & Study','CL15',14,66,46,3,Infrastructure
'food counter is overcrowded between 13 00 and 15 00 please fix urgently','Food','Annapurna / Main Mess',13,55,60,4,Canteen
'floor near washrooms is dirty and slippery while the wifi is also unstable','Hostels','Washrooms',10,39,38,4,Network
'air conditioner stops cooling after noon on floor 2','Academic & Teaching','A2/1',12,62,76,2,Electrical
'network authentication fails for students around cl3','Academic & Teaching','CL3',11,100,75,2,Network
'unclassified campus issue reported around administration block','General & Utilities','Administration Block',13,65,70,5,Other
'internet disconnects repeatedly during the lecture in cr425','Labs & Research','Aryabhatt Bhawan II',10,57,53,4,Network
'classroom door and several chairs need repair on floor 2','Labs & Research','A2/1',13,60,37,4,Infrastructure
'drinking water cooler near cl15 is empty','Sports & Recreation','Swimming Pool',8,22,55,5,Water
'projector hdmi port is loose in cl22','Labs & Research','A2/1',9,66,79,2,Infrastructure
'floor near washrooms is dirty and slippery','Academic & Teaching','Washrooms',18,41,61,3,Cleanliness
'network authentication fails for students around cl15','Labs & Research','CL15',14,70,73,2,Network
'internet disconnects repeatedly during the lecture in ts17','Academic & Teaching','CL3',10,100,45,3,Network
'floor near washrooms is dirty and slippery','Academic & Teaching','Washrooms',8,54,64,3,Cleanliness
'network authentication fails for students around aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',10,77,65,4,Network
'broken writing desk is blocking the aisle in ts17','Academic & Teaching','Aryabhatt Bhawan II',12,45,33,2,Infrastructure
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,59,55,3,Canteen
'air conditioner stops cooling after noon on floor 1 after a power interruption','Academic & Teaching','A2/1',13,68,52,3,Electrical
'power socket near the desk is unsafe in g2','Labs & Research','CL22',17,59,62,4,Electrical
'food counter is overcrowded between 13 00 and 15 00','Food','Annapurna / Main Mess',13,100,44,3,Canteen
'computer fails to boot during practical class in cr425 please fix urgently after a power interruption','Labs & Research','CL22',15,66,44,1,Lab_Equipment
'very weak wifi signal on ground floor of lrc','Academic & Teaching','LRC',12,66,20,2,Network
'three lab systems freeze during compilation in cl22','Labs & Research','CL1',12,61,31,2,Lab_Equipment
'food counter is overcrowded between 14 00 and 16 00 near a water cooler','Food','Cafeteria / Canteen',14,80,48,1,Canteen
'drinking water cooler near cs1 is empty','Hostels','Swimming Pool',9,48,64,2,Water
'projector in cl3 switches off after ten minutes','Labs & Research','CL3',11,53,30,4,Infrastructure
'wifi becomes extremely slow near cs1 between 14 00 and 16 00','Labs & Research','Aryabhatt Bhawan II',14,58,53,3,Network
'garbage is overflowing in the corridor on floor 2 students cannot continue class','Hostels','H4 Boys Hostel',8,44,55,5,Cleanliness
'wifi becomes extremely slow near ff6 between 10 00 and 12 00','Labs & Research','CL15',10,87,46,3,Network
'network authentication fails for students around cl15 near a water cooler','Academic & Teaching','CL15',11,69,69,3,Network
'laboratory equipment reports a calibration error in cl3','Labs & Research','CL15',17,41,40,1,Lab_Equipment
'lights flicker repeatedly inside cr425 near a water cooler','Labs & Research','CL22',9,46,42,1,Electrical
'two ceiling fans are not working in cl15','Labs & Research','H5 Boys Hostel',14,46,82,2,Electrical
'water is leaking into the corridor on floor 1 beside the canteen queue','Hostels','Water cooler',14,58,42,4,Water
'very weak wifi signal on floor 1 of cl15','Library & Study','CL15',11,59,77,2,Network
'canteen queue is very long at 12 00 with one counter open','Food','Cafeteria / Canteen',12,62,33,2,Canteen
'internet disconnects repeatedly during the lecture in g2 after a power interruption','Labs & Research','CL3',10,58,48,2,Network
'projector in ff6 switches off after ten minutes while the wifi is also unstable','Academic & Teaching','A2/2',10,50,46,4,Infrastructure
'wifi becomes extremely slow near cl15 between 14 00 and 16 00','Academic & Teaching','CL15',14,95,25,1,Network
'water point near water cooler is not operational','Sports & Recreation','Water cooler',13,71,72,4,Water
'network authentication fails for students around aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',14,59,50,2,Network
'water is leaking into the corridor on ground floor','General & Utilities','Girls Hostel',14,80,82,3,Water
'monitor and keyboard are not detected at workstation in g2','Labs & Research','CL3',8,22,20,2,Lab_Equipment
'broken writing desk is blocking the aisle in cl22 students cannot continue class','Labs & Research','CL3',14,57,68,1,Infrastructure
'wifi becomes extremely slow near ff6 between 12 00 and 14 00','Labs & Research','LRC',12,94,49,3,Network
'monitor and keyboard are not detected at workstation in cl3','Labs & Research','CL15',16,53,44,1,Lab_Equipment
'wifi becomes extremely slow near ff6 between 12 00 and 14 00 near a water cooler','Labs & Research','Aryabhatt Bhawan II',12,94,60,1,Network
'very weak wifi signal on floor 3 of aryabhatt bhawan ii while the wifi is also unstable','Library & Study','Aryabhatt Bhawan II',10,82,63,3,Network
'low water pressure reported around girls hostel','Sports & Recreation','Girls Hostel',10,69,93,4,Water
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,65,81,5,Canteen
'food counter is overcrowded between 14 00 and 16 00','Food','Annapurna / Main Mess',14,71,20,2,Canteen
'broken writing desk is blocking the aisle in cl3','Academic & Teaching','Aryabhatt Bhawan II',18,46,54,1,Infrastructure
'student common area is overcrowded after 9 00','Administration','Main Gate',9,64,52,5,Other
'floor near aryabhatt bhawan iii is dirty and slippery and the room is overcrowded','General & Utilities','Aryabhatt Bhawan III',15,47,61,5,Cleanliness
'low water pressure reported around water cooler','General & Utilities','Water cooler',15,44,71,3,Water
'three lab systems freeze during compilation in cs1 please fix urgently','Labs & Research','CL15',13,41,56,3,Lab_Equipment
'network authentication fails for students around cl15','Library & Study','CL15',10,88,54,4,Network
'network authentication fails for students around cl15','Academic & Teaching','CL15',9,83,62,3,Network
'drinking water cooler near cl3 is empty','General & Utilities','Water cooler',12,27,57,3,Water
'computer fails to boot during practical class in ff6','Labs & Research','CL1',11,38,71,3,Lab_Equipment
'canteen queue is very long at 12 00 with one counter open','Food','Annapurna / Main Mess',12,58,90,5,Canteen
'monitor and keyboard are not detected at workstation in ff6 beside the canteen queue','Labs & Research','CL3',14,64,46,4,Lab_Equipment
'projector hdmi port is loose in ff6 while the wifi is also unstable','Labs & Research','CL3',12,80,57,2,Infrastructure
'power socket near the desk is unsafe in g2','Hostels','CL22',11,56,75,2,Electrical
'spill outside cl22 creates a safety hazard near a water cooler','General & Utilities','Aryabhatt Bhawan III',14,71,45,3,Cleanliness
'projector hdmi port is loose in ts17','Labs & Research','Aryabhatt Bhawan II',9,74,52,3,Infrastructure
'low water pressure reported around girls hostel','Hostels','Girls Hostel',9,56,72,2,Water
'classroom door and several chairs need repair on floor 1 beside the canteen queue','Labs & Research','CL3',17,69,43,4,Infrastructure
'projector in cl15 switches off after ten minutes after a power interruption','Labs & Research','A2/2',14,37,47,2,Cleanliness
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',14,74,41,3,Canteen
'wifi becomes extremely slow near ff6 between 10 00 and 12 00 please fix urgently','Academic & Teaching','CL3',10,70,64,5,Network
'three lab systems freeze during compilation in cl3 near a water cooler','Labs & Research','CL22',15,64,47,1,Lab_Equipment
'very weak wifi signal on floor 3 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',12,77,68,5,Network
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',10,93,56,3,Network
'broken writing desk is blocking the aisle in cl15 this happens repeatedly while the wifi is also unstable','Labs & Research','A2/1',15,56,57,2,Infrastructure
'low water pressure reported around water cooler','General & Utilities','Water cooler',8,40,72,1,Water
'network authentication fails for students around aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',11,58,35,4,Network
'water point near swimming pool is not operational','Sports & Recreation','Swimming Pool',18,78,60,3,Water
'classroom door and several chairs need repair on floor 1 after a power interruption','Academic & Teaching','A2/1',15,25,53,3,Infrastructure
'floor near aryabhatt bhawan iii is dirty and slippery beside the canteen queue','General & Utilities','Aryabhatt Bhawan III',8,46,54,4,Cleanliness
'laboratory equipment reports a calibration error in ff6','Labs & Research','CL1',17,55,35,2,Lab_Equipment
'internet disconnects repeatedly during the lecture in cl3 while the wifi is also unstable','Library & Study','CL3',10,78,48,1,Network
'network authentication fails for students around cl3','Academic & Teaching','CL3',10,91,44,2,Network
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,78,45,1,Canteen
'network authentication fails for students around lrc beside the canteen queue','Academic & Teaching','LRC',12,100,84,5,Network
'garbage is overflowing in the corridor on floor 4 students cannot continue class','Hostels','Aryabhatt Bhawan III',17,39,73,5,Cleanliness
'very weak wifi signal on floor 2 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',14,36,53,2,Network
'projector in cr425 switches off after ten minutes this happens repeatedly while the wifi is also unstable','Academic & Teaching','CL3',8,42,20,2,Infrastructure
'wifi becomes extremely slow near cs1 between 10 00 and 12 00 and the room is overcrowded','Library & Study','LRC',10,77,34,4,Network
'floor near h4 boys hostel is dirty and slippery beside the canteen queue','Academic & Teaching','H4 Boys Hostel',12,54,65,4,Cleanliness
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,66,66,3,Canteen
'wifi becomes extremely slow near cl3 between 10 00 and 12 00','Labs & Research','CL15',10,93,64,4,Network
'three lab systems freeze during compilation in cs1','Labs & Research','CL3',8,46,55,2,Lab_Equipment
'network authentication fails for students around cl15','Labs & Research','CL15',9,80,58,2,Network
'food counter is overcrowded between 13 00 and 15 00 this happens repeatedly','Food','Cafeteria / Canteen',13,81,74,3,Canteen
'internet disconnects repeatedly during the lecture in cl22','Library & Study','CL3',12,56,56,2,Network
'water is leaking into the corridor on floor 4 this happens repeatedly','General & Utilities','Girls Hostel',11,62,96,3,Water
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/1',9,59,61,3,Infrastructure
'laboratory equipment reports a calibration error in ts17 and the room is overcrowded','Labs & Research','CL15',14,42,91,4,Lab_Equipment
'wifi becomes extremely slow near g2 between 9 00 and 11 00','Library & Study','CL15',9,62,52,2,Network
'air conditioner stops cooling after noon on ground floor','Hostels','CL22',11,63,60,4,Electrical
'projector in g2 switches off after ten minutes','Academic & Teaching','Aryabhatt Bhawan II',13,72,65,5,Infrastructure
'projector hdmi port is loose in cl22','Labs & Research','A2/1',15,27,34,4,Infrastructure
'unclassified campus issue reported around administration block','Sports & Recreation','Administration Block',14,36,38,3,Water
'laboratory equipment reports a calibration error in ff6','Labs & Research','ECE Labs',10,57,20,1,Lab_Equipment
'very weak wifi signal on floor 1 of cl3','Labs & Research','CL3',10,72,80,1,Network
'projector hdmi port is loose in cl3','Labs & Research','Aryabhatt Bhawan II',12,63,31,4,Infrastructure
'signage is missing for ts17 on floor 4','Administration','Auditorium',15,18,67,3,Other
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,76,51,2,Canteen
'projector in g2 switches off after ten minutes','Labs & Research','A2/2',9,33,83,2,Infrastructure
'projector hdmi port is loose in cl15','Academic & Teaching','A2/1',9,30,34,4,Infrastructure
'network authentication fails for students around cl15','Library & Study','CL15',12,78,67,3,Network
'garbage is overflowing in the corridor on floor 4 students cannot continue class','General & Utilities','Aryabhatt Bhawan III',15,73,38,3,Cleanliness
'projector hdmi port is loose in cr425','Labs & Research','A2/2',10,51,52,2,Infrastructure
'computer fails to boot during practical class in cl22 while the wifi is also unstable','Labs & Research','CL3',17,32,56,1,Lab_Equipment
'water point near girls hostel is not operational','Sports & Recreation','Girls Hostel',8,54,70,2,Water
'water is leaking into the corridor on floor 4','General & Utilities','Swimming Pool',13,81,96,1,Water
'drinking water cooler near g2 is empty and the room is overcrowded','Hostels','Girls Hostel',11,59,85,1,Water
'canteen queue is very long at 12 00 with one counter open','Food','Annapurna / Main Mess',12,81,68,3,Canteen
